name,inChampions,num,accuracy,basePower,category,pp,priority,flags,boosts,target,type,zMove,contestType,desc,shortDesc,critRatio,isZ,isNonstandard,drain,secondary,basePowerCallback,condition,volatileStatus,self,multihit,callsMove,sideCondition,hasCrashDamage,stallingMove,selfSwitch,ignoreImmunity,overrideOffensiveStat,maxMove,recoil,weather,ignoreEvasion,ignoreDefensive,forceSwitch,selfBoost,nonGhostTarget,status,smartTarget,damage,terrain,hasSheerForceBoost,selfdestruct,pseudoWeather,onDamagePriority,breaksProtect,secondaries,ohko,willCrit,overrideOffensivePokemon,isMax,ignoreAbility,slotCondition,heal,realMove,thawsTarget,mindBlownRecoil,multiaccuracy,overrideDefensiveStat,noPPBoosts,sleepUsable,tracksTarget,stealsBoosts,struggleRecoil
"10,000,000 Volt Thunderbolt",,719,TRUE,195,Special,1,0,{},,normal,Electric,,Cool,Has a very high chance for a critical hit.,Very high critical hit ratio.,3,pikashuniumz,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorb,,71,100,20,Special,25,0,"{'protect': 1, 'mirror': 1, 'heal': 1, 'metronome': 1}",,normal,Grass,,Clever,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",User recovers 50% of the damage dealt.,,,,"[1, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerock,,709,100,40,Physical,20,1,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Rock,,Cool,No additional effect.,Usually goes first.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid,,51,100,40,Special,30,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,allAdjacentFoes,Poison,,Clever,Has a 10% chance to lower the target's Special Defense by 1 stage.,10% chance to lower the foe(s) Sp. Def by 1.,,,,,"{'chance': 10, 'boosts': {'spd': -1}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid Armor,,151,TRUE,0,Status,20,0,"{'snatch': 1, 'metronome': 1}",{'def': 2},self,Poison,{'effect': 'clearnegativeboost'},Tough,Raises the user's Defense by 2 stages.,Raises the user's Defense by 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid Downpour,,628,TRUE,1,Physical,1,0,{},,normal,Poison,,Cool,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,,poisoniumz,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid Spray,,491,100,40,Special,20,0,"{'protect': 1, 'mirror': 1, 'metronome': 1, 'bullet': 1}",,normal,Poison,,Beautiful,Has a 100% chance to lower the target's Special Defense by 2 stages.,100% chance to lower the target's Sp. Def by 2.,,,,,"{'chance': 100, 'boosts': {'spd': -2}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrobatics,,512,100,55,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'distance': 1, 'metronome': 1}",,any,Flying,,Cool,Power doubles if the user has no held item.,Power doubles if the user has no held item.,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acupressure,,367,TRUE,0,Status,30,0,{'metronome': 1},,adjacentAllyOrSelf,Normal,{'effect': 'crit2'},Tough,Raises a random stat by 2 stages as long as the stat is not already at stage 6. The user can choose to use this move on itself or an adjacent ally. Fails if no stat stage can be raised or if used on an ally with a substitute.,Raises a random stat of the user or an ally by 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerial Ace,,332,TRUE,60,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'distance': 1, 'metronome': 1, 'slicing': 1}",,any,Flying,,Cool,This move does not check accuracy.,This move does not check accuracy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
