,num,name,ID,type1,type2,genderRatio,baseHP,baseAtt,baseDef,baseSpA,baseSpD,baseSpe,baseStats,abilities,heightm,weightkg,color,evos,eggGroups,tier,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,isNonstandard,changesFrom,evoCondition,evoType,gender,gen,evoItem,evoRegion,mother,canHatch,evoMove,tags,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,isCosmeticForme,requiredItems,cannotDynamax,requiredTeraType
bulbasaur,1,Bulbasaur,0001_bulbasaur,"['Grass', 'Poison']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 45, 'atk': 49, 'def': 49, 'spa': 65, 'spd': 65, 'spe': 45}","{'0': 'Overgrow', 'H': 'Chlorophyll'}",0.7,6.9,Green,['Ivysaur'],"['Monster', 'Grass']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivysaur,2,Ivysaur,0002_ivysaur,"['Grass', 'Poison']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 60, 'atk': 62, 'def': 63, 'spa': 80, 'spd': 80, 'spe': 60}","{'0': 'Overgrow', 'H': 'Chlorophyll'}",1,13,Green,['Venusaur'],"['Monster', 'Grass']",NFE,Bulbasaur,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
venusaur,3,Venusaur,0003_venusaur,"['Grass', 'Poison']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 80, 'atk': 82, 'def': 83, 'spa': 100, 'spd': 100, 'spe': 80}","{'0': 'Overgrow', 'H': 'Chlorophyll'}",2,100,Green,,"['Monster', 'Grass']",ZU,Ivysaur,32,['Venusaur-Mega'],"['Venusaur', 'Venusaur-Mega']",G-Max Vine Lash,,,,,,,,,,,,,,,,,,,,,,,,,
venusaurmega,3,Venusaur-Mega,0003_venusaur-mega,"['Grass', 'Poison']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 80, 'atk': 100, 'def': 123, 'spa': 122, 'spd': 120, 'spe': 80}",{'0': 'Thick Fat'},2.4,155.5,Green,,"['Monster', 'Grass']",Illegal,,,,,,Venusaur,Mega,Venusaurite,Past,,,,,,,,,,,,,,,,,,,,,
venusaurgmax,3,Venusaur-Gmax,0003_venusaur-gmax,"['Grass', 'Poison']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 80, 'atk': 82, 'def': 83, 'spa': 100, 'spd': 100, 'spe': 80}","{'0': 'Overgrow', 'H': 'Chlorophyll'}",24,0,Green,,"['Monster', 'Grass']",Illegal,,,,,,Venusaur,Gmax,,Past,Venusaur,,,,,,,,,,,,,,,,,,,,
charmander,4,Charmander,0004_charmander,['Fire'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 39, 'atk': 52, 'def': 43, 'spa': 60, 'spd': 50, 'spe': 65}","{'0': 'Blaze', 'H': 'Solar Power'}",0.6,8.5,Red,['Charmeleon'],"['Monster', 'Dragon']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charmeleon,5,Charmeleon,0005_charmeleon,['Fire'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 58, 'atk': 64, 'def': 58, 'spa': 80, 'spd': 65, 'spe': 80}","{'0': 'Blaze', 'H': 'Solar Power'}",1.1,19,Red,['Charizard'],"['Monster', 'Dragon']",NFE,Charmander,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charizard,6,Charizard,0006_charizard,"['Fire', 'Flying']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 78, 'atk': 84, 'def': 78, 'spa': 109, 'spd': 85, 'spe': 100}","{'0': 'Blaze', 'H': 'Solar Power'}",1.7,90.5,Red,,"['Monster', 'Dragon']",ZU,Charmeleon,36,"['Charizard-Mega-X', 'Charizard-Mega-Y']","['Charizard', 'Charizard-Mega-X', 'Charizard-Mega-Y']",G-Max Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,
charizardmegax,6,Charizard-Mega-X,0006_charizard-mega-x,"['Fire', 'Dragon']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 78, 'atk': 130, 'def': 111, 'spa': 130, 'spd': 85, 'spe': 100}",{'0': 'Tough Claws'},1.7,110.5,Black,,"['Monster', 'Dragon']",Illegal,,,,,,Charizard,Mega-X,Charizardite X,Past,,,,,,,,,,,,,,,,,,,,,
charizardmegay,6,Charizard-Mega-Y,0006_charizard-mega-y,"['Fire', 'Flying']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 78, 'atk': 104, 'def': 78, 'spa': 159, 'spd': 115, 'spe': 100}",{'0': 'Drought'},1.7,100.5,Red,,"['Monster', 'Dragon']",Illegal,,,,,,Charizard,Mega-Y,Charizardite Y,Past,,,,,,,,,,,,,,,,,,,,,
